,product,title,rating,body
0,Sony Alpha 7C Full-Frame Compact Mirrorless Camera Kit - Silver (ILCE7CL/S),Overheating Tests and Preliminary Review vs. A7III.,3.0,"I just received this camera yesterday and ran a few heat-related tests. Here is a review based on my short time with it.I was excited for the Sony A7C, not because of its (slightly) smaller size but because it is essentially the same as the fantastic A7III, just without the annoying 30-minute record limit. Since almost everything I do with video is a ""long form"" event, I ran a few stress tests, and here are my first results. All video was shot in 100mbps 4K with a 20mm APS-C lens.First test: By a window, in the sun, with the LCD against the body.Lasted 41 minutes before overheating.Second test: By the same window but with the LCD open. Starting after 12 minutes of cooldown time.Lasted 11 minutes before overheating.Third Test: After 2hrs of cooldown time. In the shade (approx. 68F), screen open.Lasted 2hrs 9mins. Ran until battery died.Early Conclusions: The smaller body of the A7C isn't really much smaller than the A7III-- this is not a pocketable camera-- so what you're really getting is a cool throwback look, USB-C charging and fewer available buttons/ dials. Battery life is amazing (that one battery recorded 3hrs!) and the AF is of course perfect. Ultimately I'd recommend the A7III over this camera unless the 30 minute record limit matters to you. The A7III simply has a superior body design for real-world use."
1,Sony Alpha 7C Full-Frame Compact Mirrorless Camera Kit - Silver (ILCE7CL/S),Great full frame camera for travel,5.0,"Sony diversifies their Alpha 7 line based on the specific needs of camera enthusiasts - 7s (sensitivity) for video, 7r (resolution) for photo, and the plain old ""entry level"" a7 for a decent mix of the two. What we're seeing here is their next branch - 7c (compact) for travel. If you had to compare it to the a7iii - which is inevitable  because it reuses much of the same tech - it's not only smaller in size, but weighs less too. There are some compromises and improvements over the a7iii:Compromise:- Stabilization not the greatest- Lack of physical controls - no joystick, no front control wheel under power button, less custom buttons- Electronic view finder (EVF) not the greatest for photographers- Can't disable electronic front curtain shutter- Max shutter speed is 1/4000 vs a7iii 1/8000- Only 1 memory card slotImprovements- Flippy screen- Narrow body that works better on gimbals- Weighs less, about 20% lighter- Better color science- Improved shutter- Improved port covers- Better use of battery - more photos / videos per charge- More custom memory modes (3), better layout on mode selection dial- You can assign custom functions to 3 buttons and u/d/l/r on scroll wheel for a total of 7- Better autofocus in both photo and video- Continuous eye tracking autofocus in video- Works with Catalyst Browse for creating gimbal-like video footage in post- Dedicated video record button- No video recording limitsI think the disappointment you see from some people evaluating this camera is semi-justified in some ways (lack of 2nd card slot, poor EVF, less physical controls), but I also think many of them were expecting this to be the next iteration of the a7 series (a7iv). It's not. Nor is it meant to be - this is a new line with a new designation that has a built out target market in the micro four thirds / APS-C space. Sony took existing technology, improved upon it in so many ways, and put it in a smaller lighter package.The a7c is perfectly suited for travel, hiking, and vlogging in my opinion. With choice lenses, it has the potential to be lighter than my MFT system while offering all of the benefits that come with a full frame sensor. It's small / light enough that I don't mind taking it with me everywhere. If I wanted a higher end camera with a fuller set of features, I could invest in an a7r, a7s, a9, or FX6 and use the same lenses.If you already own an a7iii, you probably aren't going to see a huge benefit in switching to this camera. Hold off for the a7iv. But if you're coming from the APS-C or MFT space, you're a traveler, hiker, or vlogger that wants to maximize your image quality : weight/space ratio, you are the target audience for this camera. I'd highly recommend it!"
2,Sony Alpha 7C Full-Frame Compact Mirrorless Camera Kit - Silver (ILCE7CL/S),I've owned better cameras,3.0,"Pros:Great Battery Life (3hrs recording)No record time limitGreat AFGreat IQGreat Low LightFlip-out ScreenNo wheel locksCons:Fewer buttons than other FF camerasStill overheats in challenging conditions10MP APS-C stillI think the idea of making a small full frame camera body is silly since the lenses are so large. . The results are mostly the same great 4k video (and bad 1080p video) that the A7III produces, with fast AF and excellent low light. In tests performed I found that this camera lasted just over 40 minutes recording in the sun and was unlimited in the shade.  Ultimately, what you have here is a cool retro design that is less practical for use. It has a smaller body which can be handy but the effort it puts in isn't the best.  I rather have a bulky camera and see beautiful results....It does weigh very lightly and this is great for when your on the go and shooting.  I think this camera is great for Vlogging or taking quick videos."
3,Sony Alpha 7C Full-Frame Compact Mirrorless Camera Kit - Silver (ILCE7CL/S),Powerful little beast,5.0,Sony definitely delivers with this compact camera. I just want to first start off saying that I’m an amateur photographer. So this is like my first camera ever. I just want to say for anyone who’s looking to buy a full frame mirrorless camera. Who doesn’t know much about how to use a camera. This is seriously the camera for you. Since this is my first camera I’ve been able to take what I think are great shots of my friends and family. I know the price point could be a little steep but I’m telling you it’s worth it.
4,Sony Alpha 7C Full-Frame Compact Mirrorless Camera Kit - Silver (ILCE7CL/S),Revolutionary,5.0,"Finally, a full-frame interchangeable lens camera the size of a point-and-shoot, that uses adapters so you can shoot with almost any type of lens mount, and lenses out there.  This camera makes digital photography fun and practical. I use the A7C with a Leica M-Mount adapter in order to use my Leica lenses. The camera is set to silent shooting mode, and it becomes the quietest Leica street photography rig there is. It overall outperforms any Leica M body today, except for the prestige of using a Leica M camera."
5,Sony Alpha 7C Full-Frame Compact Mirrorless Camera Kit - Silver (ILCE7CL/S),A Sony A7RIII in the body of a Sony A6600! Lightweight and perfect for me!,5.0,"I love this camera! It's my first Full Frame Camera! I stream here on Amazon everyday and I use this camera plus the Sigma 35mm F1.2 lens as my main face cam for my streams I have lights behind me so the bokeh is just wow! I've used the Sony A7RII but it felt like it didnt have a lot of features this camera has and maybe the Sony A7RII needed to be updated as everything seemed so old with that camera! However I also own the Sony A6600, Sony A6000, and Sony A6100 I use them for my streaming and they're amazing but with my 35mm lens since it's a full frame lens on the cropped sensor cameras it was zooming way into my face with the Sony A7C I get the true 35mm! And it's amazing for streaming it makes face cam look dreamy with the back ground blur and bokeh behind me!I've only used this camera for taking photos once! I live in South Korea and it's winter now so it's too cold to go outside and shoot I took a few photos as you can see, I have Autumn photos of myself but I can't wait until it warms up again so I can take more photos! As for right now though I use it everyday to stream!If you have any questions about the camera and want to see it in use in real time stop by my Amazon stream you can find me by going to amazon.com/shop/atarabyte! Or heading to the Livestreams tab on Amazon! I stream everyday here on Amazon and I can compare all the Sony cameras I have for you in real time and hopefully help you decided which Sony camera would be best for you!I hope this review helps! And feel free to message me if you have any questions while I'm not streaming I would love to help! ^^Anyways, I hope you have an amazing day and if you do buy this camera I hope you love it as much as I do!"
6,Sony Alpha 7C Full-Frame Compact Mirrorless Camera Kit - Silver (ILCE7CL/S),Small frame BIG power,5.0,"I’ve always wanted to jump on the Sony mirrorless hype train, but never had the opportunity to. On top of the size, the “silver” is a nice touch and I recommend that colorway to everyone in the market for it as it definitely adds a little flair to the camera to make it stick out from the usual all black camera bodies. The flip screen is a definite nice touch. I do wish that it had been touch screen, but the full motion is a nice touch. Definitely will help with selfies and vlogging if you do that. For me it is nice to be able to rotate and see what I’m shooting in weird angles. Speaking of seeing what you’re shooting, the Sony camera app allows you to see the EVF on your camera screen and capture as well! The kit lens is small and compact. Overall I don’t find much use for it as I hoped because I rarely shoot video or vlog, but if you do any of those, it is a definite must. It’s so compact and with it being 28mm on the wide end, you can get plenty of frame in your videos. The Auto-Focus is AMAZING. I’ve had plenty of shots messed up with other cameras because the Auto-Focus was off or too slow. Sony definitely has been the leader in the game and I’m happy to know the hype is well served. The A7C also has the newish Eye-AF feature. I haven’t had too much experience using it, but from my initial tests it is great and combined with the AF-C and zone focusing it is quick to switch and switch back to Eye-AF. Definitely an amazing feature. Overall this camera is great. If you’re looking for a small compact camera for vlogging/streaming with a flip screen, this is it. Or if you’re like me and just want a compact camera for all your travels (next year when covid is over), this is definitely it. Where previously I would have to think twice about taking my camera with me, this Sony A7C is a no brainer. It literally fits in my jacket pocket and is a take everywhere type of camera."
7,Sony Alpha 7C Full-Frame Compact Mirrorless Camera Kit - Silver (ILCE7CL/S),Small a7iii,3.0,"Camera is great. It is like an a7iii with flip out button, continuous video recording, and smaller form factor. Miss the custom buttons though. However, if you pair this with a good small prime lens, this is great for street photography and vlogging. My only issue is the battery. I think i got a defective one as it is draining much faster than my older batteries i was using for my a7riii"
8,Sony Alpha 7C Full-Frame Compact Mirrorless Camera Kit - Silver (ILCE7CL/S),This is an amazingly competent camera,5.0,"We have had this camera since 1 June 2021and we purchased it to see if a compact full frame camera would work for us. We were looking for a smaller camera that was not an APS C sensor based camera.First a little background. My wife and I are keen semi professional photographers and own a Canon R5, Canon R6, Nikon Z6 II and Fuji X T4, along with a good selection of Canon RF, Nikon S Z and Fuji XF lenses. I have owned the Sony A7RIII and A7RIV and traded them for the Canon R5 and R6 cameras. We have been taking pictures for over 60 years in my case.I traded the Sony A7RIII and Sony A7RIV simply because I did not like taking pictures with them. Technically they were superb but they were difficult to handle and the new Canons (R5 and R6) were a revelation in handling and I 'wanted' to take pictures with them. I say this because I expected to dislike this A7C. It has the same menu system as the A7RIII and A7RIV (which I did not like) and the comments on the EVF and lack of controls in the reviews made me wonder why I wanted to try this.However it is the size that wins you over immediately. Picture quality is superb and autofocus is excellent. This is a full frame camera in the body of an APS C body and it handles exceptionally well. Somehow those awkward angles etc. of the bigger bodies goes away and it feels so good in both my wife and I's hands. I cannot confirm whether the autofocus is better than the A 7III but it seems the equal of the A 7RIII and A 7RIV, if not a little better (I do not have them to test them side by side but it certainly feels that way). In short we love this camera and, and this is the 'real' test, we tend to take it with us when we are looking to have a camera with us just in case.Pros:1. Small body that feels solid and beautifully made. Access doors are nice quality (not floppy rubber plug in pieces) and fully weather sealed.2. Excellent out of body JPGs, RAWS excellent and easy to recover detail in the shadows and highlights.3. Superb Autofocus that glues to your subject.4. Fast operation.5. Flexible 'flippy' screen.6. Access to a wide range of FE lens mount lenses.7. Kit lens is much better than you would expect and very small. Ideal for street photography and the one lens you might just happen to have with you.8. Excellent battery life.9. Excellent video output.10. In body image stabilization.Cons:1. The EVF is truly awful but just about allows you to aim the camera and take a picture when the rear screen is not viewable.2. Lack of a joy stick is an irritant to me,  but you get used to it.3. Kit lens 60 mm max focal length is too short and the wide angle is not wide enough (28 mm). An equivalent to that Canon RF 24 -105 f/4 - 7.1 would be wonderful.4. The Sony lenses are large for their capabilities (the F/4 24 -105 is enormous), Canon make smaller and better lenses for full frame. However Tamron are filling the gap. We have bought the F/2.8-5.6 28 to 200 mm Tamron for the A 7C and it is a good match, still not small but light and still easy to use and handle.5. IBIS not good enough for video, and needs a gimbal.We love this camera and we use it a lot (we have aleady taken around 4000 shots!!) and used it in a wide variety of conditions where it has excelled. Thoroughly recommended."
9,Sony Alpha 7C Full-Frame Compact Mirrorless Camera Kit - Silver (ILCE7CL/S),Sony A7c: no limits full frame compact camera (if you know the options.........),4.0,"The A7c gives me access to next level low light video and photos. This is something that my m4/3 panasonic cameras (G9, G85) struggled to deliver, even just indoors on a sunny day with a nice f2.8 (or even 1.7) lens, the ISO could skyrocket. This was the main motivation for obtaining this camera, and it does not disappoint, with at least a 2-fold improvement in low light performance (max iso set to 3200 and usually sufficient for vids and photos). I am also very impressed by the featherweight budget samyang 18mm f2.8. After testing of many custom presets and getting to grips with some manual focus quirks,  I think I have an A7c  which can do just about everything I need  (stored in the 7 custom camera config preset slots). I can instantly make it into a deluxe GoPro (wide and everything always in focus), low light video Ap/Sp, astro timelapse, day timelapse, low light tracking auto focus stills......... Importantly, it is the same weight as a panasonic G85 which is critical for a travel/backpacking/bike camera (I need). I can put it on the crane M2 mini-gimbal for decent stabilization, and still be discrete/small enough to not feel like a sore thumb. This is the deal when you move from panny m4/3 - I swapped low light performance for effective stabilization. The catalyst giro stabe in post is a bit last resort, but a nice thought.  It is awesome to have access to the older manual FF lenses -  budget great glass - without all the crop factor PITA with m4/3 or APS-c. The big downside of this camera is lack of any intuitive user interface - it will do it all - but wow - it is quite a learning curve to test and set up this stuff. I guess you get out what you put in. As a panasonic G9  shooter (camera with very nice user interface),  the HUGE elephant in the room is usability and the lack of a touch screen. Compared to the G9 this camera has very poor organization and on-the-fly tweakability. The workaround here is extensive testing and the use of personal menus and custom presets, but even then the lack of a touch screen for at least review is just criminal. In summary, this camera really delivers full frame dazzle, is a good fit for light weight adventures (only with the additional M2 gimbal and lightweight lens), but IMO needs real commitment  from any non-sony shooter to get the preset settings dialed in and make it all work.9 month update --  removed a star to 4/5: in the end the lack of workable IBIS, touch screen and very fiddly menus caused me to give up with this camera.  For the way I shoot video (stopped down, lots of manual) the Sony AF was not as valuable as I expected. I found it was not so great at f>5, and with low contrast scenes (snow, landscapes).  I acquired a Panasonic S5, and so far its working perfectly for me."
